	BAIXADAS LITORANEAS	NITERÓI	33056501	CE MARIA PEREIRA DAS NEVES
	BAIXADAS LITORANEAS	NITERÓI	33056510	EE MENEZES VIEIRA
	BAIXADAS LITORANEAS	NITERÓI	33056560	CE PINTO LIMA
	BAIXADAS LITORANEAS	NITERÓI	33056579	EEEE PROFESSOR ALVARO CAETANO DE OLIVEIRA
	BAIXADAS LITORANEAS	NITERÓI	33056595	EE SAO DOMINGOS SAVIO
	BAIXADAS LITORANEAS	NITERÓI	33057117	IE PROFESSOR ISMAEL COUTINHO
	BAIXADAS LITORANEAS	NITERÓI	33057508	LICEU NILO PECANHA
	BAIXADAS LITORANEAS	NITERÓI	33057702	CE PROFESSORA ALCINA RODRIGUES LIMA
	BAIXADAS LITORANEAS	NITERÓI	33057737	CE ALMIRANTE TAMANDARE
	BAIXADAS LITORANEAS	NITERÓI	33057745	CE DOUTOR SOUZA SOARES
	BAIXADAS LITORANEAS	NITERÓI	33096805	CIEP 449 GOVERNADOR LEONEL DE MOURA BRIZOLA BRASIL FRANCA
	BAIXADAS LITORANEAS	NITERÓI	33102490	CIEP 450 DI CAVALCANTI
	BAIXADAS LITORANEAS	NITERÓI	33102503	CE DAVID CAPISTRANO
	BAIXADAS LITORANEAS	NITERÓI	33102520	CIEP 307 DJANIRA
	BAIXADAS LITORANEAS	NITERÓI	33108579	CIEP 448 RUY FRAZAO SOARES
	BAIXADAS LITORANEAS	NITERÓI	33172919	CE MATEMATICO JOAQUIM GOMES DE SOUSA - INTER-CULTURAL BRASIL-CHINA
	BAIXADAS LITORANEAS	RIO BONITO	33044325	CE JOSE MATOSO MAIA FORTE
	BAIXADAS LITORANEAS	RIO BONITO	33044333	CE DESEMBARGADOR JOSE AUGUSTO COELHO ROCHA JUNIOR
	BAIXADAS LITORANEAS	RIO BONITO	33044368	CE ANTONIO LOPES DE CAMPOS FILHO
	BAIXADAS LITORANEAS	RIO BONITO	33044384	CE BARAO DO RIO BRANCO
	BAIXADAS LITORANEAS	RIO BONITO	33044406	CE DOUTOR ROBERTO PEREIRA DOS SANTOS
	BAIXADAS LITORANEAS	RIO BONITO	33044473	CE PROFESSOR DYRCEU RODRIGUES DA COSTA
	BAIXADAS LITORANEAS	RIO BONITO	33044708	CE BERNARDINO DA COSTA LOPES
	BAIXADAS LITORANEAS	SÃO PEDRO DA ALDEIA	33028087	CIEP 262 CURVELINA DIAS CURVELLO
	BAIXADAS LITORANEAS	SÃO PEDRO DA ALDEIA	33028095	CIEP 272 GABRIEL JOAQUIM DOS SANTOS
	BAIXADAS LITORANEAS	SÃO PEDRO DA ALDEIA	33028109	CIEP 146 PROFESSOR CORDELINO TEIXEIRA PAULO
	BAIXADAS LITORANEAS	SÃO PEDRO DA ALDEIA	33028125	CE ALMIRANTE TAMANDARE
	BAIXADAS LITORANEAS	SÃO PEDRO DA ALDEIA	33028133	CE DOUTOR FELICIANO SODRE
	BAIXADAS LITORANEAS	SÃO PEDRO DA ALDEIA	33028192	CE JOSE RASCAO
	BAIXADAS LITORANEAS	SÃO PEDRO DA ALDEIA	33028214	CE VITAL BRASIL
	BAIXADAS LITORANEAS	SÃO PEDRO DA ALDEIA	33028540	CE NOBU YAMAGATA
	BAIXADAS LITORANEAS	SAQUAREMA	33028702	CIEP 372 PAULO LEMINSKY
	BAIXADAS LITORANEAS	SAQUAREMA	33028729	CE OSCAR DE MACEDO SOARES
	BAIXADAS LITORANEAS	SAQUAREMA	33028958	CE OLIVEIRA VIANA
	BAIXADAS LITORANEAS	SAQUAREMA	33028974	CE RIO DE AREIA
	BAIXADAS LITORANEAS	SAQUAREMA	33029164	CE DUCLER LAUREANO MATOS
	BAIXADAS LITORANEAS	SAQUAREMA	33104204	CIEP 258 ASTROGILDO PEREIRA
	BAIXADAS LITORANEAS	SAQUAREMA	33558221	CE ISMENIA DE BARROS BARROSO
	CENTRO SUL	AREAL	33016836	CE MARIANO PROCOPIO
	CENTRO SUL	BARRA DO PIRAÍ	33034273	CIEP 287 ANGELINA TEIXEIRA NETTO SYIM
