Código	Diretoria Regional	Municipio	DESIGNAÇÃO		Endereço	Nº	Complemento	Bairro  	CEP
33049734	METROPOLITANA V 	DUQUE DE CAXIAS	CIEP	035 MARECHAL HENRIQUE TEIXEIRA LOTT	RUA LEIBRITZ	SNº		JARDIM PRIMAVERA	25212310
33048282	METROPOLITANA V 	DUQUE DE CAXIAS	CIEP	087 CLEMENTINA DE JESUS	AVENIDA GOMES FREIRE	SNº		PANTANAL	25040160
33049726	METROPOLITANA V 	DUQUE DE CAXIAS	CIEP	089 GRACILIANO RAMOS	RUA LAURO SODRE	SNº		PANTANAL	25040060
33048339	METROPOLITANA V 	DUQUE DE CAXIAS	CIEP	098 PROFESSORA HILDA DO CARMO SIQUEIRA	ESTRADA SAO VICENTE	3		VILA GUANABARA	25086030
33049742	METROPOLITANA V 	DUQUE DE CAXIAS	CIEP	118 VEREADOR VILSON CAMPOS MACEDO	AVENIDA PRESIDENTE KENNEDY	SNº		SAO BENTO	25045000
33048320	METROPOLITANA V 	DUQUE DE CAXIAS	CIEP	131 PROFESSORA ARMANDA ALVARO ALBERTO	RUA SOLANGE	07		JARDIM LEAL	25035575
33099243	METROPOLITANA V 	DUQUE DE CAXIAS	CIEP	171 JOSE AMERICO PESSANHA	RUA FELICIANO SODRE	SNº		STA LUCIA	25272540
33101620	METROPOLITANA V 	DUQUE DE CAXIAS	CIEP	176 CHICO MENDES	ESTRADA DAS AMENDOEIRAS	69		CAPIVARI	25243420
33048347	METROPOLITANA V 	DUQUE DE CAXIAS	CIEP	198 PROFESSORA ROZA FERREIRA DE MATTOS	RUA HELENA PASSOS DE SOUZA	SNº		PRAINHA	25015580
33099073	METROPOLITANA V 	DUQUE DE CAXIAS	CIEP	199 CHARLES CHAPLIN	RUA ALCOBACA ESQUINA COM RUA CHOPIN  	SNº		JD GRAMACHO	25050580
33110220	METROPOLITANA V 	DUQUE DE CAXIAS	CIEP	201 AARAO STEINBRUCH	AVENIDA PRESIDENTE KENNEDY	SNº		SAO BENTO	25010006
33049700	METROPOLITANA V 	DUQUE DE CAXIAS	CIEP	208 ALCEU AMOROSO LIMA	RUA PROFESSOR HELIO RANGEL	SNº		JARDIM PRIMAVERA	25222190
33099766	METROPOLITANA V 	DUQUE DE CAXIAS	CIEP	209 ATAULFO ALVES	TRAVESSA BELMONTE	SNº	ANTIGA RUA DA PRACA NOSSA SENHORA DE LOURDES	PARQUE BOM RETIRO	25223540
33099235	METROPOLITANA V 	DUQUE DE CAXIAS	CIEP	218 MINISTRO HERMES LIMA BRASIL-TURQUIA	AVENIDA RUI BARBOSA	SNº		JARDIM GRAMACHO	25055260
33048312	METROPOLITANA V 	DUQUE DE CAXIAS	CIEP	226 PORTO DA ESTRELA	ESTRADA RIO X MAGE	SNº	KM 7.5	PARQUEESTRELA	25271970
33049718	METROPOLITANA V 	DUQUE DE CAXIAS	CIEP	228 DARCY VARGAS	AVENIDA DO PORTO	SNº		SARACURUNA	25220660
33099200	METROPOLITANA V 	DUQUE DE CAXIAS	CIEP	229 CANDIDO PORTINARI	AVENIDA CASTRO ALVES	SNº		SARACURUNA	25211970
33101655	METROPOLITANA V 	DUQUE DE CAXIAS	CIEP	320 ERCILIA ANTONIA DA SILVA	RUA BOITATA	SNº		CHACARA ARCAMPO	25251130
33098816	METROPOLITANA V 	DUQUE DE CAXIAS	CIEP	340 PROFESSORA LAIS MARTINS	ESTRADA VELHA DO PILAR	SNº		FIGUEIRA	25230610
33097810	METROPOLITANA V 	DUQUE DE CAXIAS	CIEP	348 EUGENIA MOREYRA	RUA A COM RUA F	SNº		JARDIM MARIANA	25235340
33099286	METROPOLITANA V 	DUQUE DE CAXIAS	CIEP	350 TULIO ROBERTO CARDOSO QUINTILIANO	PARQUE DAS MISSOES	SNº		PQ DAS MISSOES	25085000
33049696	METROPOLITANA V 	DUQUE DE CAXIAS	CIEP	369 JORNALISTA SANDRO MOREYRA	AVENIDA EMILIO DE MENEZES	SNº		JARDIM PRIMAVERA	25220000
33099227	METROPOLITANA V 	DUQUE DE CAXIAS	CIEP	370 PROFESSOR SYLVIO GNECCO DE CARVALHO	RUA EUSTAQUIO DE AZEVEDO	SNº		VILA MARIA HELENA	25251600
33097895	METROPOLITANA V 	DUQUE DE CAXIAS	CIEP	404 CLARICE LISPECTOR	RUA LEONTINA MEZIOT	SNº	PILAR	SILVA CARDOSO	25233090
33099189	METROPOLITANA V 	DUQUE DE CAXIAS	CIEP	434 PROFESSORA MARIA JOSE MACHADO	RUA COMANDANTE ARI PARREIRAS	SNº		ENGENHO DO PORTO	25015190
33096694	METROPOLITANA V 	DUQUE DE CAXIAS	CIEP	476 ELIAS LAZARONI	AVENIDA A	SNº		NOVA CAMPINA	25268010
33049920	METROPOLITANA V 	DUQUE DE CAXIAS	CE	ABDALA CHAMA	RUA MANZANARES	SNº	2º DISTRITO	PARQUE JORGE ABDALA CHAMA	25243010
33049785	METROPOLITANA V 	DUQUE DE CAXIAS	CE	ADELINA CASTRO	AVENIDA TUPINAMBA DE CASTRO	SNº		CAMPOS ELISEOS	25225000
33050791	METROPOLITANA V 	DUQUE DE CAXIAS	CE	ALEMY TAVARES DA SILVA	RUA BONSUCESSO	SNº		VILA CANAA	25255160
33049793	METROPOLITANA V 	DUQUE DE CAXIAS	CE	ALEXANDER GRAHAM BELL	RUA SANTA RITA	SNº		JARDIM PRIMAVERA	25214340
33048444	METROPOLITANA V 	DUQUE DE CAXIAS	CE	ALVARO NEGROMONTE	RUA FREI CANECA	98		JARDIM GRAMACHO	25056070
33048835	METROPOLITANA V 	DUQUE DE CAXIAS	EE	ARARIBOIA	RUA ITU	01		GRAMACHO	25060350
33049947	METROPOLITANA V 	DUQUE DE CAXIAS	EE	ASSIS CHATEAUBRIAND	AVENIDA PRESIDENTE KENNEDY	SNº	KM 12	CIDADE DOS MENINOS	25233000
33048452	METROPOLITANA V 	DUQUE DE CAXIAS	CE	AURA BARRETO	RUA VEREADOR TOME SIQUEIRA BARRETO	295		GRAMACHO	25035150
33048843	METROPOLITANA V 	DUQUE DE CAXIAS	EE	BAIRRO SENHOR DO BONFIM	RUA DOUTOR ARRUDA NEGREIROS	930		PARQUE SENHOR DO BONFIM	25020300
33050759	METROPOLITANA V 	DUQUE DE CAXIAS	CE	BARAO DE MAUA	RUA DOS ENGENHEIROS	SNº		XEREM	25250400
33050767	METROPOLITANA V 	DUQUE DE CAXIAS	CE	CIRCULO OPERARIO	AVENIDA TIRADENTES	04		XEREM	25250130
33050490	METROPOLITANA V 	DUQUE DE CAXIAS	CE	DOUTOR ALFREDO BACKER	RUA GOIANDIRA	SNº		IMBARIE	25266070
33048860	METROPOLITANA V 	DUQUE DE CAXIAS	CE	DOUTOR IGNACIO BEZERRA DE MENEZES	RUA BERNARDO MONTEIRO	SNº		PERIQUITO	25025320
33048460	METROPOLITANA V 	DUQUE DE CAXIAS	CE	DULCE PETRI	RUA FLORIANOPOLIS	75		PARQUE BEIRA MAR	25085460
33048479	METROPOLITANA V 	DUQUE DE CAXIAS	CE	DUQUE DE CAXIAS	RUA MARIA LUIZA REIS	SNº		PARQUE LAFAIETE	25010540
33049963	METROPOLITANA V 	DUQUE DE CAXIAS	CE	EMBAIXADOR RAUL FERNANDES	RUA MARIO BEHRING	40		VILA ROSARIO	25040140
33048878	METROPOLITANA V 	DUQUE DE CAXIAS	CE	EUCLIDES DA CUNHA	RUA DEPUTADO SA REGO	SNº		CHACRINHA	25080260
33048886	METROPOLITANA V 	DUQUE DE CAXIAS	CE	EVANGELINA PORTO DA MOTTA	AVENIDA LEANDRO DA MOTTA	1150		DOUTOR LAUREANO	25065170
33050422	METROPOLITANA V 	DUQUE DE CAXIAS	CE	FERNANDO FIGUEIREDO	RUA GOIANDIRA	379		IMBARIE	25000000
33048487	METROPOLITANA V 	DUQUE DE CAXIAS	CE	FIDELIS MEDEIROS	RUA FRANCISCO LEAL	SNº		JARDIM LEAL	25035615
33049807	METROPOLITANA V 	DUQUE DE CAXIAS	CE	FREI HENRIQUE DE COIMBRA	AVENIDA DEMETRIO RIBEIRO	SNº		FIGUEIRA	25230020
33048908	METROPOLITANA V 	DUQUE DE CAXIAS	CE	GETULIO VARGAS	AVENIDA FRANCISCO FALEIRO FREITAS LIMA	789	BANANAL JARDIM LEAL	VILA LEOPOLDINA	25035030
33048916	METROPOLITANA V 	DUQUE DE CAXIAS	EE	GILBERTO FREIRE	RUA ITU	SNº		SARAPUI	25060350
33049475	METROPOLITANA V 	DUQUE DE CAXIAS	IE	GOVERNADOR ROBERTO SILVEIRA	RUA GENERAL MITRE	587		JARDIM VINTE E CINCO DE AGOSTO	25075100
33048495	METROPOLITANA V 	DUQUE DE CAXIAS	CE	GUADALAJARA	RUA ARISTIDES CAIRE	SNº		OLAVO BILAC	25035170
33049980	METROPOLITANA V 	DUQUE DE CAXIAS	CE	HELIO RANGEL	RUA ODESSA	546		JARDIM PRIMAVERA	25265480
33048932	METROPOLITANA V 	DUQUE DE CAXIAS	CE	HERBERT MOSES	AVENIDA CHOPIN	25		JARDIM GRAMACHO	25050580
33050805	METROPOLITANA V 	DUQUE DE CAXIAS	CE	HERVALINA DINIZ PIRES	RUA MANOEL GARCIA DA SILVA	SNº		SANTO ANTONIO	25253000
33048509	METROPOLITANA V 	DUQUE DE CAXIAS	CE	IRINEU MARINHO	RUA OTAVIO ASCOLI	SNº		VILA CENTENARIO	25030040
33049998	METROPOLITANA V 	DUQUE DE CAXIAS	EE	JOAO XXIII	RUA ITAPECERICA (ANTIGA RUA DERBY CLUBE)	SNº		PARQUE BOM RETIRO	25223545
33048940	METROPOLITANA V 	DUQUE DE CAXIAS	CE	LARA VILLELA	RUA AVARE	19		JARDIM GRAMACHO	25055120
33048959	METROPOLITANA V 	DUQUE DE CAXIAS	CE	LIA MARCIA GONCALVES PANARO	AVENIDA BRASIL	SNº		VILA SAO LUIS	25065170
33050503	METROPOLITANA V 	DUQUE DE CAXIAS	CE	MANOEL BANDEIRA	RUA ITAGUACU	SNº		SANTA LUCIA	25271210
33050015	METROPOLITANA V 	DUQUE DE CAXIAS	CE	MARECHAL RONDON	RUA RIO GRANDE DO SUL	SNº		SANTA CRUZ DA SERRA	25243610
33048975	METROPOLITANA V 	DUQUE DE CAXIAS	CE	MIGUEL COUTO	ESTRADA SAO VICENTE	851		VILA GUANABARA	25080030
33050023	METROPOLITANA V 	DUQUE DE CAXIAS	CE	MINAS GERAIS	AVENIDA JORNALISTA MOACYR PADILHA	SNº		JARDIM PRIMAVERA	25215270
33050813	METROPOLITANA V 	DUQUE DE CAXIAS	CE	MONTEIRO LOBATO	RUA EDIR BARBOSA	SNº		MANTIQUIRA	25245360
33050511	METROPOLITANA V 	DUQUE DE CAXIAS	CE	NOVA AMERICA	ESTRADA CACHOEIRA DAS DORES	1410		TAQUARA	25275130
33142882	METROPOLITANA V 	DUQUE DE CAXIAS	CE	NOVA CAMPINA	AVENIDA A	SNº		NOVA CAMPINA	25268010
33050538	METROPOLITANA V 	DUQUE DE CAXIAS	CE	OPERARIO JOAO VICENTE	RUA URUBA	30		SANTA LUCIA	25271080
33050430	METROPOLITANA V 	DUQUE DE CAXIAS	CE	PADRE ANCHIETA	AVENIDA TRINTA E UM DE MARCO	SNº		PARQUE PAULISTA	25261000
33050546	METROPOLITANA V 	DUQUE DE CAXIAS	CE	PARADA ANGELICA	AVENIDA FERNANDO FIGUEREDO	08		PARADA ANGELICA	25270000
33050554	METROPOLITANA V 	DUQUE DE CAXIAS	CE	PROFESSOR FRANCISCO PORTUGAL NEVES	RUA M	SNº		IMBARIE	25271020
33048991	METROPOLITANA V 	DUQUE DE CAXIAS	CE	PROFESSOR JOSE DE SOUZA HERDY	RUA PROFESSOR JOSE DE SOUZA HERDY	450		JARDIM VINTE E CINCO DE AGOSTO	25075140
33050040	METROPOLITANA V 	DUQUE DE CAXIAS	EE	PROFESSORA CORDELIA PAIVA	ESTRADA DO CHINA	10	QUADOUTORA J	PARQUE FLUMINENSE	25045000
33050570	METROPOLITANA V 	DUQUE DE CAXIAS	CE	PROFESSORA MINERVINA BARBOSA DE CASTRO	AVENIDA DUQUE DE CAXIAS	153		PARQUEEQUITATIVA	25260390
33048797	METROPOLITANA V 	DUQUE DE CAXIAS	CE	PROFESSORA NORMA TOOP URUGUAY	RUA MILTON MENDONCA	SNº		CENTRO	25015020
33050058	METROPOLITANA V 	DUQUE DE CAXIAS	EE	PROFESSORA SARAH FARIA BRAZ	RUA XV DE NOVEMBRO	SNº		SARACURUNA	25215060
33050031	METROPOLITANA V 	DUQUE DE CAXIAS	CE	PROFESSORA VERA LUCIA TAVARES ROMAO	RUA CUNHA MATOS	SNº	QUADOUTORA 03 L0TE 22	SARACURUNA	25220040
33048517	METROPOLITANA V 	DUQUE DE CAXIAS	CE	RUI BARBOSA	RUA PRIMEIRO DE MAIO	SNº		JACATIRAO	25060140
33050848	METROPOLITANA V 	DUQUE DE CAXIAS	CE	SANTO ANTONIO	RUA BENJAMIM DOS MONTES	03		XEREM	25250000
33049815	METROPOLITANA V 	DUQUE DE CAXIAS	CE	SANTO INACIO	RUA MACAU	01		NOSSA SENHORA DAS GRACAS	25046260
33049017	METROPOLITANA V 	DUQUE DE CAXIAS	CE	SAO BENTO	RUA HERMAN LUNDGREEN	SNº	QUADOUTORA 04 LOTE 04	GRAMACHO	25050010
33049025	METROPOLITANA V 	DUQUE DE CAXIAS	CE	VINICIUS DE MORAES	PRACA PAULO BIAR	SNº		VILA OPERARIA	25000300
33049033	METROPOLITANA V 	DUQUE DE CAXIAS	CE	ZUMBI DOS PALMARES	RUA THOMAZ ANTONIO GONZAGA	1845		VILA LEOPOLDINA	25060250
33110638	METROPOLITANA VI	RIO DE JANEIRO	CIEP	205 FREI AGOSTINHO FINCIAS	RUA DEPUTADO ATILA NUNES	131		ENGENHO NOVO	20715140
33102210	METROPOLITANA VI	RIO DE JANEIRO	CIEP	241 NACAO MANGUEIRENSE GOVERNADOR LEONEL DE MOURA BRIZOLA	RUA SANTOS MELO	73		SAO FRANCISCO XAVIER	20960030
33105103	METROPOLITANA VI	RIO DE JANEIRO	CIEP	303 AYRTON SENNA	AUTO ESTRADA LAGOA BARRA	15 A		SAO CONRADO	22610170
33097283	METROPOLITANA VI	RIO DE JANEIRO	CIEP	321 DOUTOR ULISSES GUIMARAES	RUA DA REVERENCIA	375	JACAREPAGUA	CURICICA	22780580
33077088	METROPOLITANA VI	RIO DE JANEIRO	CE	ADALGISA MONTEIRO	ESTRADA DE JACAREPAGUA	3145		BARRA DA TIJUCA	22753210
33068011	METROPOLITANA VI	RIO DE JANEIRO	CE	AFONSO PENA	RUA BARAO DE MESQUITA	499		TIJUCA	20540145
33087717	METROPOLITANA VI	RIO DE JANEIRO	CE	ALBERT EINSTEIN	RUA GUIMARAES ROSA	166		BARRA DA TIJUCA	22793090
33077096	METROPOLITANA VI	RIO DE JANEIRO	CE	ALBERTO PASQUALINI	PRACA ALBERT SABIN	12	JACAREPAGUA	TAQUARA	22740170
33077363	METROPOLITANA VI	RIO DE JANEIRO	CE	ALBERTO RANGEL	PRACA JOSE ALVES DE AZEVEDO	43	JACAREPAGUA	FREGUESIA	22755190
33077371	METROPOLITANA VI	RIO DE JANEIRO	CE	ALINA DE BRITTO	RUA FREI LUIZ ALEVATO	SNº	JACAREPAGUA	TAQUARA	22710320
33087750	METROPOLITANA VI	RIO DE JANEIRO	CE	ALMIRANTE TAMANDARE	AVENIDA PRESIDENTE JOAO GOULART	296		VIDIGAL	22450240
33063397	METROPOLITANA VI	RIO DE JANEIRO	CE	AMARO CAVALCANTI	LARGO DO MACHADO	20		CATETE	22221020
33065276	METROPOLITANA VI	RIO DE JANEIRO	CE	ANDRE MAUROIS	AVENIDA VISCONDE DE ALBUQUERQUE	1325		GAVEA	22450001
33066590	METROPOLITANA VI	RIO DE JANEIRO	CE	ANTONIO PRADO JUNIOR	RUA MARIZ E BARROS	273		TIJUCA	20270003
33086427	METROPOLITANA VI	RIO DE JANEIRO	CE	AUGUSTO RUSCHI	RUA PADRE JUVENAL	74		ILHA DE PAQUETA	20397070
33077100	METROPOLITANA VI	RIO DE JANEIRO	CE	BRIGADEIRO SCHORCHT	RUA DOS PRAZERES	71	JACAREPAGUA	TAQUARA	22710045
33077118	METROPOLITANA VI	RIO DE JANEIRO	CE	CARLOS LACERDA	AVENIDA NELSON CARDOSO	1221	JACAREPAGUA	TAQUARA	22730001
33064792	METROPOLITANA VI	RIO DE JANEIRO	CE	CASTELNUOVO	RUA FRANCISCO OTAVIANO	105		COPACABANA	22080040
33063389	METROPOLITANA VI	RIO DE JANEIRO	CE	CHICO ANYSIO	RUA AMARAL	26		ANDARAI	20510080
33126941	METROPOLITANA VI	RIO DE JANEIRO	CE	CHIQUINHA GONZAGA	PRACA SOLDADO GERALDO DA CRUZ	50		BARRA DA TIJUCA	22620230
33439222	METROPOLITANA VI	RIO DE JANEIRO	CE	COMPOSITOR LUIZ CARLOS DA VILA	AVENIDA DOM HELDER CAMARA	1184		MANGUINHOS	20973011
33126232	METROPOLITANA VI	RIO DE JANEIRO	CE	COMPOSITOR LUIZ GONZAGA	RUA ESCRITOR UBALDO SOARES FILHO	128	JACAREPAGUA	FREGUESIA	22763060
33071560	METROPOLITANA VI	RIO DE JANEIRO	CE	DELFIM MOREIRA	PRACA UBAJARA	28		ROCHA	20975020
33063877	METROPOLITANA VI	RIO DE JANEIRO	CE	DEODORO	RUA DA GLORIA	64		GLORIA	20241180
33077436	METROPOLITANA VI	RIO DE JANEIRO	CE	DESEMBARGADOR NEY PALMEIRO	RUA ENGENHEIRO HUGO TOMPSOM NOGUEIRA	SNº	JACAREPAGUA	CAMORIM	22780290
33062374	METROPOLITANA VI	RIO DE JANEIRO	CE	REVERENDO HUGH CLARENCE TUCKER	RUA RIVADAVIA CORREA	188		GAMBOA	20241263
33064636	METROPOLITANA VI	RIO DE JANEIRO	CE	ECA DE QUEIROS	RUA RAUL POMPEIA	183		COPACABANA	22080000
33077126	METROPOLITANA VI	RIO DE JANEIRO	CE	EDUARDO MONDLANE	RUA ACAPORI	495	JACAREPAGUA	GARDENIA AZUL	22765650
33077452	METROPOLITANA VI	RIO DE JANEIRO	CE	EMBAIXADOR DIAS CARNEIRO	ESTRADA DA COVANCA	20	JACAREPAGUA	TANQUE	22735020
33077134	METROPOLITANA VI	RIO DE JANEIRO	CE	ENGENHEIRO BERNARDO SAYAO	AVENIDA NELSON CARDOSO	1221	JACAREPAGUA	TAQUARA	22730001
33105065	METROPOLITANA VI	RIO DE JANEIRO	CAIC	EUCLYDES DA CUNHA	AVENIDA ENGENHEIRO SOUZA FILHO	SNº	JACAREPAGUA	ITANHANGA	22753053
33077169	METROPOLITANA VI	RIO DE JANEIRO	CE	EUNICE WEAVER	RUA TRIBUNA	47	JACAREPAGUA	TAQUARA	22715120
33126105	METROPOLITANA VI	RIO DE JANEIRO	CE	FINLANDIA	AVENIDA CANAL DO RIO CACAMBE	392	JACAREPAGUA	CAMORIM	22783080
33067783	METROPOLITANA VI	RIO DE JANEIRO	CE	FRANCISCO CAMPOS	RUA NOSSA SENHORA DE LOURDES	175		GRAJAU	20560060
33077487	METROPOLITANA VI	RIO DE JANEIRO	CE	FREDERICO EYER	RUA ALBERTO PASQUALINI	455	JACAREPAGUA	PECHINCHA	22740250
33077495	METROPOLITANA VI	RIO DE JANEIRO	CE	GENERAL CARLOS MIRAGAYA	RUA SALINOPOLIS	155	JACAREPAGUA	TAQUARA	22720000
33087725	METROPOLITANA VI	RIO DE JANEIRO	CE	GILSON AMADO	AVENIDA ADOLPHO DE VASCONCELLOS	234		BARRA DA TIJUCA	22793380
33087733	METROPOLITANA VI	RIO DE JANEIRO	CE	GOLDA MEIR	AVENIDA SERNAMBETIBA	3300		BARRA DA TIJUCA	22630010
33066140	METROPOLITANA VI	RIO DE JANEIRO	CE	GONCALVES DIAS	RUA EBANO	205	4 ANDAR	BENFICA	20930060
33126224	METROPOLITANA VI	RIO DE JANEIRO	CE	HERBERT DE SOUZA	RUA BARAO DE ITAPAGIPE	311		TIJUCA	20260131
33077509	METROPOLITANA VI	RIO DE JANEIRO	CE	HONDURAS	PRACA BARAO DA TAQUARA	12	JACAREPAGUA	PRACA SECA	21321010
33065284	METROPOLITANA VI	RIO DE JANEIRO	CE	IGNACIO AZEVEDO DO AMARAL	RUA JARDIM BOTANICO	563		JARDIM BOTANICO	22470050
33064644	METROPOLITANA VI	RIO DE JANEIRO	CE	INFANTE DOM HENRIQUE	RUA BELFORD ROXO	433		COPACABANA	22020010
33067791	METROPOLITANA VI	RIO DE JANEIRO	CE	JOAO ALFREDO	BOULEVARD VINTE E OITO DE SETEMBRO	109		VILA ISABEL	20551030
33063893	METROPOLITANA VI	RIO DE JANEIRO	CE	JOAQUIM ABILIO BORGES	RUA HUMAITA	19		HUMAITA	22261000
33062340	METROPOLITANA VI	RIO DE JANEIRO	CAIC	JOAQUIM DA SILVA XAVER - O TIRADENTES	RUA RIVADAVIA CORREA	188		GAMBOA	20241263
33271208	METROPOLITANA VI	RIO DE JANEIRO	CE	JOSE LEITE LOPES	RUA URUGUAI	204		TIJUCA	20510060
33062668	METROPOLITANA VI	RIO DE JANEIRO	CE	JULIA KUBITSCHEK	RUA GENERAL CALDWELL	182		CENTRO	20230193
33077142	METROPOLITANA VI	RIO DE JANEIRO	CE	MAHATMA GANDHI	RUA JOSE PERROTA	31	JACAREPAGUA	CURICICA	22710440
33065292	METROPOLITANA VI	RIO DE JANEIRO	CE	MANUEL BANDEIRA	RUA PACHECO LEAO	1004		JARDIM BOTANICO	22460030
33077525	METROPOLITANA VI	RIO DE JANEIRO	CE	MARECHAL CANROBERT PEREIRA DA COSTA	RUA JOSE SILVA	155	JACAREPAGUA	PECHINCHA	22743080
33063052	METROPOLITANA VI	RIO DE JANEIRO	CE	MEM DE SA	RUA CAMPOS DA PAZ	218		RIO COMPRIDO	20250460
33063400	METROPOLITANA VI	RIO DE JANEIRO	CE	MEXICO	RUA DA PASSAGEM 	104		BOTAFOGO	22290031
33126755	METROPOLITANA VI	RIO DE JANEIRO	CE	MONTEIRO DE CARVALHO	RUA ALMIRANTE ALEXANDRINO	2495		SANTA TERESA	20240090
33066027	METROPOLITANA VI	RIO DE JANEIRO	CE	NILO PECANHA	AVENIDA DO EXERCITO	175		SAO CRISTOVAO	20941070
33066035	METROPOLITANA VI	RIO DE JANEIRO	CE	OLAVO BILAC	PRACA ARGENTINA	20		SAO CRISTOVAO	20920050
33062919	METROPOLITANA VI	RIO DE JANEIRO	CE	PAULO DE FRONTIN	RUA BARAO DE UBA	399		PRACA DA BANDEIRA	20260060
33077150	METROPOLITANA VI	RIO DE JANEIRO	CE	CARDEAL DOM EUGENIO DE ARAUJO SALES	RUA EDGAR WERNECK	1565	JACAREPAGUA	CIDADE DE DEUS	22763011
33064652	METROPOLITANA VI	RIO DE JANEIRO	CE	PEDRO ALVARES CABRAL	RUA REPUBLICA DO PERU	104		COPACABANA	22021040
33077177	METROPOLITANA VI	RIO DE JANEIRO	CE	PRESIDENTE JOAO GOULART	RUA MAMORE	78	JACAREPAGUA	FREGUESIA	22760080
33065217	METROPOLITANA VI	RIO DE JANEIRO	CE	PROFESSOR ANTONIO MARIA TEIXEIRA FILHO	AVENIDA BARTOLOMEU MITRE	701		LEBLON	22431000
33066612	METROPOLITANA VI	RIO DE JANEIRO	CE	PROFESSOR CLOVIS SALGADO	RUA CARLOS SEIDL	20		CAJU	20930000
33066043	METROPOLITANA VI	RIO DE JANEIRO	CE	PROFESSOR ERNESTO FARIA	AVENIDA BARTOLOMEU DE GUSMAO	890		SAO CRISTOVAO	20941160
33125805	METROPOLITANA VI	RIO DE JANEIRO	CE	PROFESSOR TEOFILO MOREIRA DA COSTA	RUA ESPERANCA	387		VARGEM GRANDE	22785590
33134049	METROPOLITANA VI	RIO DE JANEIRO	CE	PROFESSORA MARIA TEREZINHA DE CARVALHO MACHADO	RUA CANDIDO BENICIO	826	JACAREPAGUA	PRACA SECA	21320060
33067805	METROPOLITANA VI	RIO DE JANEIRO	CE	REPUBLICA ARGENTINA	BOULEVARD VINTE E OITO DE SETEMBRO	125		VILA ISABEL	20551030
33062226	METROPOLITANA VI	RIO DE JANEIRO	CE	REVERENDO MARTIN LUTHER KING	RUA JOAQUIM PALHARES	648		PRACA DA BANDEIRA	20260085
33063958	METROPOLITANA VI	RIO DE JANEIRO	CE	RODRIGUES ALVES	RUA SANTO AMARO	133		GLORIA	22211230
33064849	METROPOLITANA VI	RIO DE JANEIRO	CE	ROMA	AVENIDA NOSSA SENHORA DE COPACABANA	165		COPACABANA	22020000
33077568	METROPOLITANA VI	RIO DE JANEIRO	CE	ROSA DO POVO	RUA BOGARI	65	JACAREPAGUA	TAQUARA	22725440
33072337	METROPOLITANA VI	RIO DE JANEIRO	CE	SARMIENTO	RUA HENRIQUE DIAS	150		ROCHA	20950120
33077185	METROPOLITANA VI	RIO DE JANEIRO	CE	SENADOR TEOTONIO VILELA	RUA BARAO	1180	JACAREPAGUA	PRACA SECA	21321620
33066620	METROPOLITANA VI	RIO DE JANEIRO	CE	SOARES PEREIRA	AVENIDA MARACANA	1450		TIJUCA	20511001
33062676	METROPOLITANA VI	RIO DE JANEIRO	CE	SOUZA AGUIAR	RUA DOS INVALIDOS	121		CENTRO	20231040
33138648	METROPOLITANA VI	RIO DE JANEIRO	CE	STELLA MATUTINA	RUA CANDIDO DE FIGUEIREDO	181	JACAREPAGUA	TANQUE	22735200
33062927	METROPOLITANA VI	RIO DE JANEIRO	CE	TOMAS ANTONIO GONZAGA	RUA ITAPIRU	453		CATUMBI	20251031
33087644	METROPOLITANA VI	RIO DE JANEIRO	CE	VICENTE JANNUZZI	AVENIDA DAS AMERICAS	6120		BARRA DA TIJUCA	22793080
33077576	METROPOLITANA VI	RIO DE JANEIRO	CE	VICTOR HUGO	RUA DOM CASMURRO	SNº	JACAREPAGUA	ANIL	22753390
33173010	METROPOLITANA VI	RIO DE JANEIRO	CE	JORNALISTA MAURICIO AZEDO	RUA CARLOS SEIXAS	SNº	VILA OLIMPICA	CAJU	20931007
33046603	METROPOLITANA VII	BELFORD ROXO	CIEP	037 ERNESTO GUEVARA	RUA OLAVO BATISTA	SNº		BOM PASTOR	26110130
33046263	METROPOLITANA VII	BELFORD ROXO	CAIC	1003 DONA DARCY VARGAS	RUA SARGENTO HONORIO LEITE PORTO	SNº		SARGENTO RONCALLE	26178240
33046654	METROPOLITANA VII	BELFORD ROXO	CIEP	112 MONSENHOR SOLANO DANTAS DE MENEZES	AVENIDA HELIOPOLIS	SNº		HELIOPOLIS	26121726
33046662	METROPOLITANA VII	BELFORD ROXO	CIEP	116 VILA MAIA	AVENIDA NOVA AURORA	SNº		NOVA AURORA	26155070
33046514	METROPOLITANA VII	BELFORD ROXO	CIEP	178 JOAO SALDANHA	RUA MAJOR ENIO CAVALCANTE CALDAS	SNº		SARGENTO RONCALLI	26178230
33046646	METROPOLITANA VII	BELFORD ROXO	CIEP	197 MINISTRO MARCOS DE BARROS FREIRE	RUA CAMINHO DA GLORIA	1053		SHANGRI-LA	26155125
33047286	METROPOLITANA VII	BELFORD ROXO	CIEP	210 MARIO ALVES DE SOUZA VIEIRA	RUA ALMIRANTE TAMANDARE	SNº		JARDIM XAVANTE	26160010
33046522	METROPOLITANA VII	BELFORD ROXO	CIEP	314 GALILEU GALILEI	ESTRADA DO CONDE	SNº		SANTA MARTA	26170180
33046530	METROPOLITANA VII	BELFORD ROXO	CIEP	316 GENERAL LADARIO PEREIRA TELLES	RUA MAUA	SNº		SAO BERNARDO	26165110
